2021-01-03T22:28:00-05:00	ChangeableRibbon	18240	9.446
2021-01-06T19:24:02-05:00	PlacidDeveloping	12244	6.875
2021-01-17T06:24:29-05:00	GoofyEpisode	31290	9.039
2021-01-25T02:06:00-05:00	WittyItinerary	28835	2.174
2021-01-29T03:20:46-05:00	StandingPartnership	19122	4.733
2021-01-31T12:05:56-05:00	RoughKnot	25314	3.779
2021-02-24T18:03:01-05:00	StingyRiver	24777	0.685
2021-02-25T02:42:23-05:00	StandingPartnership	36612	6.206
2021-02-26T18:43:12-05:00	OpenCrest	34536	3.645
2021-03-14T20:25:02-04:00	TestedSorghum	28032	5.899
2021-03-17T05:50:06-04:00	SynonymousAmbience	42856	5.8469999999999995
2021-04-19T16:59:19-04:00	PlacidDeveloping	19727	2.086
2021-05-12T07:50:58-04:00	StingyRiver	30504	8.965
2021-05-12T09:31:48-04:00	StandingPartnership	17595	7.854
2021-05-19T05:57:52-04:00	StandingPartnership	25803	6.098
2021-05-27T18:56:13-04:00	StandingPartnership	25560	6.777
2021-06-02T23:28:19-04:00	LevelGlucose	44406	3.5460000000000003
2021-06-22T23:46:05-04:00	UninterestedWarrant	34698	1.12
2021-06-27T17:33:08-04:00	ChangeableRibbon	17843	0.618
2021-07-02T18:38:03-04:00	RoughKnot	47535	4.735
2021-07-19T08:25:58-04:00	UninterestedWarrant	25761	8.671
2021-07-25T03:53:57-04:00	OpenCrest	44879	4.326
2021-08-15T21:49:37-04:00	RoughKnot	13956	1.807
2021-08-21T20:01:09-04:00	SynonymousAmbience	48715	7.671
2021-08-25T02:23:25-04:00	RoughKnot	23772	3.102
2021-09-15T18:20:01-04:00	UninterestedWarrant	15709	9.898
2021-09-21T23:46:10-04:00	UninterestedWarrant	35240	8.609
2021-09-26T04:30:38-04:00	RoughKnot	48628	1.414
2021-09-26T12:29:47-04:00	UninterestedWarrant	14825	1.8
2021-09-27T13:14:47-04:00	AwareCraftsman	41480	6.859
2021-10-11T18:17:39-04:00	PlacidDeveloping	13875	0.819
2021-10-15T16:45:31-04:00	OpenCrest	28276	2.975
2021-10-17T23:53:08-04:00	TestedSorghum	34090	1.556
2021-10-24T03:21:44-04:00	WittyItinerary	38057	4.275
2021-11-01T10:17:34-04:00	ChangeableRibbon	33312	9.398
2021-11-03T14:54:48-04:00	LevelGlucose	40830	8.592
2021-11-05T03:21:21-04:00	StandingPartnership	40305	5.51
2021-11-06T06:56:16-04:00	OpenCrest	45332	8.971
2021-11-07T04:31:58-05:00	StandingPartnership	33929	3.322
2021-11-13T14:07:03-05:00	AbsorbingSavannah	46917	1.8980000000000001
2021-11-14T18:23:29-05:00	AwareCraftsman	15356	1.228
2021-11-19T16:22:10-05:00	WittyItinerary	39976	7.871
2021-11-23T01:58:20-05:00	SynonymousAmbience	27261	4.826
2021-12-01T01:15:25-05:00	TestedSorghum	37488	7.39
2021-12-13T09:59:21-05:00	ChangeableRibbon	38889	4.664
2021-12-17T21:06:49-05:00	AbsorbingSavannah	16009	7.792
2021-12-24T05:03:44-05:00	UninterestedWarrant	25639	5.723
2021-12-25T05:48:57-05:00	ImpossibleCouch	34574	6.335
2021-12-29T14:46:49-05:00	PlacidDeveloping	45507	3.84
2021-12-30T14:03:06-05:00	TestedSorghum	11021	7.241
2022-01-14T08:45:04-05:00	TestedSorghum	40497	8.074
2022-01-20T17:52:13-05:00	AbsorbingSavannah	25200	5.108
2022-01-29T22:16:04-05:00	AwareCraftsman	41332	2.31
2022-02-02T04:17:49-05:00	TestedSorghum	45956	9.4
2022-02-16T17:36:28-05:00	WittyItinerary	25826	5.693
2022-02-25T03:37:27-05:00	LevelGlucose	42225	0.323
2022-03-12T07:27:11-05:00	LevelGlucose	12116	8.418
2022-03-13T12:32:16-04:00	TestedSorghum	34377	9.639
2022-03-19T03:34:18-04:00	RoughKnot	11861	0.06
2022-03-23T11:07:58-04:00	ImpossibleCouch	41349	4.344
2022-04-12T00:46:55-04:00	PlacidDeveloping	21707	5.941
2022-04-12T12:42:27-04:00	PlacidDeveloping	20570	9.268
2022-04-22T18:22:41-04:00	ChangeableRibbon	12153	4.819
2022-05-23T21:44:13-04:00	ChangeableRibbon	31454	7.523
2022-05-25T23:50:48-04:00	AbsorbingSavannah	33201	2.078
2022-07-17T00:33:10-04:00	AwareCraftsman	20553	4.417
